,,,,,,,,,,,,,,,,,,
Stats,,,,,,,,,,Confusion Matrix,,,,,Predicted,,,
Total Exited:,2037,,,,,,,,,Threshold:,0.5,,,,0,1,,
Total Records:,10000,,,,,,,,,,,,Actual,0,7687,276,,
Percent Exited:,20.4%,,,,,,,,,,,,,1,1597,440,,
,,,,,,,,,,,,,,,,,,
RowNumber,Exited,P_Hat,TotalRecords,Total,RandomSelect,RandomSelectPercentOfTotalChurners,ModelSelect,ModelSelectPercentOfTotalChurners, ,,,,,,,,,
4816,0,0.930669386909157,1,0.0%,20.4%,0.0%,0,0.0%,,,,,,,,,,
3532,1,0.928310811333763,2,0.0%,40.7%,0.0%,1,0.0%,,,,,,,,,,
9588,0,0.923302971030312,3,0.0%,61.1%,0.0%,1,0.0%,,,,,,,,,,
7500,1,0.906178289428398,4,0.0%,81.5%,0.0%,2,0.1%,,,,,,,,,,
9556,1,0.904457270483543,5,0.1%,101.9%,0.1%,3,0.1%,,,,,,,,,,
8489,1,0.892241567575652,6,0.1%,122.2%,0.1%,4,0.2%,,,,,,,,,,
7630,1,0.882858638268693,7,0.1%,142.6%,0.1%,5,0.2%,,,,,,,,,,
7693,0,0.876196716771472,8,0.1%,163.0%,0.1%,5,0.2%,,,,,,,,,,
9748,1,0.874290461386468,9,0.1%,183.3%,0.1%,6,0.3%,,,,,,,,,,
4464,1,0.871828190717216,10,0.1%,203.7%,0.1%,7,0.3%,,,,,,,,,,
7009,1,0.861914644875986,11,0.1%,224.1%,0.1%,8,0.4%,,,,,,,,,,
8157,0,0.859745116882958,12,0.1%,244.4%,0.1%,8,0.4%,,,,,,,,,,
4436,1,0.857004905577206,13,0.1%,264.8%,0.1%,9,0.4%,,,,,,,,,,
7814,1,0.842061584041802,14,0.1%,285.2%,0.1%,10,0.5%,,,,,,,,,,
4560,1,0.839912350826053,15,0.2%,305.6%,0.2%,11,0.5%,,,,,,,,,,
417,1,0.837359566193884,16,0.2%,325.9%,0.2%,12,0.6%,,,,,,,,,,
3388,0,0.834867062802318,17,0.2%,346.3%,0.2%,12,0.6%,,,,,,,,,,
4752,1,0.832187654221521,18,0.2%,366.7%,0.2%,13,0.6%,,,,,,,,,,
4502,0,0.830751602857337,19,0.2%,387.0%,0.2%,13,0.6%,,,,,,,,,,
618,1,0.830145633036281,20,0.2%,407.4%,0.2%,14,0.7%,,,,,,,,,,
4564,1,0.826519394144121,21,0.2%,427.8%,0.2%,15,0.7%,,,,,,,,,,
8189,0,0.821812646465621,22,0.2%,448.1%,0.2%,15,0.7%,,,,,,,,,,
9293,0,0.81894439731246,23,0.2%,468.5%,0.2%,15,0.7%,,,,,,,,,,
9333,1,0.81849644941791,24,0.2%,488.9%,0.2%,16,0.8%,,,,,,,,,,
6531,0,0.817436016553787,25,0.3%,509.3%,0.3%,16,0.8%,,,,,,,,,,
9310,0,0.816555378570902,26,0.3%,529.6%,0.3%,16,0.8%,,,,,,,,,,
4397,0,0.815313364566703,27,0.3%,550.0%,0.3%,16,0.8%,,,,,,,,,,
2474,1,0.812672309000675,28,0.3%,570.4%,0.3%,17,0.8%,,,,,,,,,,
3367,0,0.810541414310698,29,0.3%,590.7%,0.3%,17,0.8%,,,,,,,,,,
372,0,0.809108014189955,30,0.3%,611.1%,0.3%,17,0.8%,,,,,,,,,,
7852,1,0.805715457505165,31,0.3%,631.5%,0.3%,18,0.9%,,,,,,,,,,
9603,1,0.805602920728139,32,0.3%,651.8%,0.3%,19,0.9%,,,,,,,,,,
421,1,0.80498519056403,33,0.3%,672.2%,0.3%,20,1.0%,,,,,,,,,,
5440,0,0.804734744449063,34,0.3%,692.6%,0.3%,20,1.0%,,,,,,,,,,
4319,0,0.804473578121139,35,0.4%,713.0%,0.4%,20,1.0%,,,,,,,,,,
2778,1,0.80408323166506,36,0.4%,733.3%,0.4%,21,1.0%,,,,,,,,,,
9473,0,0.802797792459596,37,0.4%,753.7%,0.4%,21,1.0%,,,,,,,,,,
6444,0,0.801556753957697,38,0.4%,774.1%,0.4%,21,1.0%,,,,,,,,,,
3911,1,0.799821351835722,39,0.4%,794.4%,0.4%,22,1.1%,,,,,,,,,,
5577,1,0.797009668448336,40,0.4%,814.8%,0.4%,23,1.1%,,,,,,,,,,
5005,1,0.796928292126178,41,0.4%,835.2%,0.4%,24,1.2%,,,,,,,,,,
